OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
5590067,5,Full,Good,0,3ECA8AB9-2A50-415D-9770-E44DCDD31DEE,POINT(-73.8837276406877 40.89122386540273),9D4EB3F9-165C-4E0D-B108-BA569C709ACD,Acer rubrum - red maple,11:11.0,,,,,-73.88372764,40.89122387
5590241,6,Full,Good,0,7520D35C-A195-4BDC-A889-578DE4701F39,POINT(-73.89360864462162 40.890649697964236),00476B2E-D40E-4C5A-9BED-3AF53AC983DB,Acer rubrum - red maple,11:11.0,20:32.0,,4,20:32.0,-73.89360864,40.8906497
5590625,16,Full,Good,0,5E2D218D-5812-4EA0-A8BD-B5640837640A,POINT(-73.88184213812211 40.874832918974576),88656C05-F7EB-4AF1-A7ED-D28F22B8BED0,Acer rubrum - red maple,11:11.0,28:13.0,,6,28:13.0,-73.88184214,40.87483292
5590723,27,Full,Good,0,444D0CC6-8FEB-4B6B-BEFE-28E684FC1809,POINT(-73.89664662568991 40.889055338798784),0937CB12-B59B-49D7-AAA3-2E787CDE5075,Acer rubrum - red maple,11:11.0,,,,,-73.89664663,40.88905534
5590905,11,Full,Good,0,E25E8E3C-AFE6-4995-8ABD-6885424AC756,POINT(-73.88366672254365 40.891187804035),8C51938B-44C6-4590-B19B-99544CBC0CF4,Acer rubrum - red maple,11:11.0,,,,,-73.88366672,40.8911878
5591041,44,Full,Excellent,0,7B86E83A-F683-42A7-8D4B-54232C46ADCC,POINT(-73.86357440281976 40.89117637088465),ED54CB9F-1BD4-4551-9D76-979CBA7D897E,Acer rubrum - red maple,11:11.0,,,,,-73.8635744,40.89117637
5591891,20,Full,Fair,0,5373002F-CF2A-49D4-89B6-56FE48C687A4,POINT(-73.90597798191659 40.90015108600149),87A854C3-26C4-436A-9BB0-0C0D17002E76,Acer rubrum - red maple,11:11.0,,,,,-73.90597798,40.90015109
5591997,19,Full,Good,0,D18AE453-88C4-4B9C-9898-581081E73BB3,POINT(-73.88272772176398 40.892707909590875),41982DEA-629D-4277-A327-1F1079ED30D0,Acer rubrum - red maple,11:11.0,,,,,-73.88272772,40.89270791
5592321,6,Full,Fair,0,EA51CDF6-5FBD-4CD1-ADDA-52ABF0EC0E83,POINT(-73.9058727051165 40.90022621990468),15E77705-781C-4DC1-B293-C7B60DD09DDC,Acer rubrum - red maple,11:11.0,,,,,-73.90587271,40.90022622
5592358,8,Full,Good,0,ED594E62-360F-4417-A31B-DD20357C2E88,POINT(-73.89887765870193 40.88698080577448),16999490-9E32-47D3-B55C-1CDC8F74D206,Acer rubrum - red maple,11:11.0,,,,,-73.89887766,40.88698081
